Date,Ref,S3,S4,S1,S2
04.06.2021 01:00,9.8,7.06,7.25,2.74,2.55
04.06.2021 02:00,10.1,7.05,7.34,3.05,2.76
04.06.2021 03:00,10.6,7.32,8.63,3.28,1.97
04.06.2021 04:00,11.2,7.86,9.28,3.34,1.92
04.06.2021 05:00,11.7,9.72,9.92,1.98,1.78
04.06.2021 06:00,11.8,9.34,10.48,2.46,1.32
04.06.2021 07:00,11.5,8.14,8.75,3.36,2.75
04.06.2021 08:00,11,6.85,8.17,4.15,2.83
04.06.2021 09:00,10.4,6.92,6.89,3.48,3.51
04.06.2021 10:00,6.2,4.69,5.4,1.51,0.8
04.06.2021 11:00,5.5,3.64,4.22,1.86,1.28
04.06.2021 12:00,4.7,3.7,3.83,1,0.87
04.06.2021 13:00,4.7,3.92,3.85,0.78,0.85
04.06.2021 14:00,4.7,3.36,3.06,1.34,1.64
04.06.2021 15:00,4.6,3.46,3.82,1.14,0.78
04.06.2021 16:00,5.1,3.94,4.04,1.16,1.06
04.06.2021 17:00,5.4,3.92,4.15,1.48,1.25
04.06.2021 18:00,6.5,5.28,5.06,1.22,1.44
04.06.2021 19:00,6.6,4.9,5.05,1.7,1.55
04.06.2021 20:00,6.4,4.67,5.43,1.73,0.97
04.06.2021 21:00,6.8,5.42,5.13,1.38,1.67
04.06.2021 22:00,8.9,6.79,6.96,2.11,1.94
04.06.2021 23:00,10.2,7.61,7.31,2.59,2.89
05.06.2021 00:00,3.9,3.18,3.48,0.72,0.42
05.06.2021 01:00,2.9,3.17,3.74,0.27,0.84
05.06.2021 02:00,3,3.37,3.47,0.37,0.47
05.06.2021 03:00,3.4,4.29,4.02,0.89,0.62
05.06.2021 04:00,3.7,3.35,3.32,0.35,0.38
05.06.2021 05:00,4.4,4.82,5.05,0.42,0.65
05.06.2021 06:00,4.3,4.74,4.7,0.44,0.4
05.06.2021 07:00,4.1,3.78,4.49,0.32,0.39
05.06.2021 08:00,4.4,4.68,4.72,0.28,0.32
05.06.2021 09:00,3.6,3.23,3.72,0.37,0.12
05.06.2021 10:00,2.6,3.19,2.72,0.59,0.12
05.06.2021 11:00,3.2,3.12,3.21,0.08,0.01
05.06.2021 12:00,2.3,2.53,2.83,0.23,0.53
05.06.2021 13:00,1.6,2.73,2.6,1.13,1
05.06.2021 14:00,1.2,2.89,2.63,1.69,1.43
05.06.2021 15:00,1.8,2.78,3.29,0.98,1.49
05.06.2021 16:00,1.8,2.83,2.97,1.03,1.17
05.06.2021 17:00,1.8,2.83,2.97,1.03,1.17
05.06.2021 18:00,2,2.68,2.54,0.68,0.54
05.06.2021 19:00,2.5,2.7,3.36,0.2,0.86
05.06.2021 20:00,3.1,3.54,3.65,0.44,0.55
05.06.2021 21:00,3.3,3.35,3.75,0.05,0.45
05.06.2021 22:00,4.1,4.28,3.93,0.18,0.17
05.06.2021 23:00,4.5,4.79,3.92,0.29,0.58
06.06.2021 00:00,3.8,3.54,4.11,0.26,0.31
06.06.2021 01:00,3.2,2.51,2.97,0.69,0.23
06.06.2021 02:00,3.4,3.72,3.44,0.32,0.04
06.06.2021 03:00,3.4,3.55,3.54,0.15,0.14
06.06.2021 04:00,2.2,3.05,3.39,0.85,1.19
06.06.2021 05:00,2,3.47,3.44,1.47,1.44
06.06.2021 06:00,2.7,3.94,4.44,1.24,1.74
06.06.2021 07:00,3.5,4.7,4.59,1.2,1.09
06.06.2021 08:00,3.5,3.95,4.41,0.45,0.91
06.06.2021 09:00,3.3,4.05,4.65,0.75,1.35
06.06.2021 10:00,3,3.51,3.72,0.51,0.72
06.06.2021 11:00,2.7,2.86,3.29,0.16,0.59
06.06.2021 12:00,2.9,3.02,3.08,0.12,0.18
06.06.2021 13:00,3.6,3.2,3.95,0.4,0.35
06.06.2021 14:00,2.6,2.8,2.87,0.2,0.27
06.06.2021 15:00,1.8,2.68,2.99,0.88,1.19
06.06.2021 16:00,1.5,2.43,2.54,0.93,1.04
06.06.2021 17:00,2,2.8,3.27,0.8,1.27
06.06.2021 18:00,3.1,3.46,4.55,0.36,1.45
06.06.2021 19:00,3.9,4.94,4.37,1.04,0.47
06.06.2021 20:00,3.5,4,4.31,0.5,0.81
06.06.2021 21:00,3.3,3.85,4.68,0.55,1.38
06.06.2021 22:00,3.3,4.08,4.77,0.78,1.47
06.06.2021 23:00,4.2,5.23,5.43,1.03,1.23
07.06.2021 00:00,4.3,4.38,4.87,0.08,0.57
07.06.2021 01:00,5.2,6.22,6.75,1.02,1.55
07.06.2021 02:00,7.5,9.09,9.71,1.59,2.21
07.06.2021 03:00,8.4,9.14,10.73,0.74,2.33
07.06.2021 04:00,10.2,12.2,12.88,2,2.68
07.06.2021 05:00,11.1,11.97,13.9,0.87,2.8
07.06.2021 06:00,12.1,13.03,15.47,0.93,3.37
07.06.2021 07:00,13.3,14.71,16.32,1.41,3.02
07.06.2021 08:00,14.1,15.5,16.15,1.4,2.05
07.06.2021 09:00,12.5,13.96,15.96,1.46,3.46
07.06.2021 10:00,5.4,6.5,7.09,1.1,1.69
07.06.2021 11:00,6.6,6.9,8.11,0.3,1.51
07.06.2021 12:00,5,5.35,6.01,0.35,1.01
07.06.2021 13:00,4.1,4.47,4.79,0.37,0.69
07.06.2021 14:00,3.9,3.98,4.18,0.08,0.28
07.06.2021 15:00,3.1,2.84,3,0.26,0.1
07.06.2021 16:00,4.7,5.22,5.29,0.52,0.59
07.06.2021 17:00,5.9,6.86,6.87,0.96,0.97
07.06.2021 18:00,3.9,4.49,3.68,0.59,0.22
07.06.2021 19:00,2.6,3.32,3.76,0.72,1.16
07.06.2021 20:00,3.2,3.95,4.07,0.75,0.87
07.06.2021 21:00,3,4.01,3.93,1.01,0.93
07.06.2021 22:00,3.6,3.75,4.67,0.15,1.07
07.06.2021 23:00,4,4.83,4.78,0.83,0.78
08.06.2021 00:00,5,5.31,5.7,0.31,0.7
08.06.2021 01:00,5.3,5.92,7.16,0.62,1.86
08.06.2021 02:00,4.4,5.53,6.23,1.13,1.83
08.06.2021 03:00,3.2,3.98,4.63,0.78,1.43
08.06.2021 04:00,3.1,3.52,4.99,0.42,1.89
08.06.2021 05:00,3.8,4.89,4.76,1.09,0.96
08.06.2021 06:00,4.3,5.36,5.66,1.06,1.36
08.06.2021 07:00,4.8,6.46,6.98,1.66,2.18
08.06.2021 08:00,4.3,5.03,5.13,0.73,0.83
08.06.2021 09:00,4.8,5.68,6.29,0.88,1.49
08.06.2021 10:00,5.3,5.84,6.2,0.54,0.9
08.06.2021 11:00,5.2,5.87,5.47,0.67,0.27
08.06.2021 12:00,5.2,4.91,5.02,0.29,0.18
08.06.2021 13:00,5.5,5.46,5.94,0.04,0.44
08.06.2021 14:00,5.4,4.56,5.11,0.84,0.29
08.06.2021 15:00,7.8,7.71,8.29,0.09,0.49
08.06.2021 16:00,11.1,10.64,10.69,0.46,0.41
08.06.2021 17:00,13.5,11.9,12.6,1.6,0.9
08.06.2021 18:00,7.6,6.39,7.73,1.21,0.13
08.06.2021 19:00,6.5,5.65,7.08,0.85,0.58
08.06.2021 20:00,6.7,7.86,8.17,1.16,1.47
08.06.2021 21:00,8,9.57,10.82,1.57,2.82
08.06.2021 22:00,8.6,8.24,9.98,0.36,1.38
08.06.2021 23:00,7.4,7.52,8.05,0.12,0.65
09.06.2021 00:00,7.1,7.92,8.42,0.82,1.32
09.06.2021 01:00,7.4,7.38,8.14,0.02,0.74
09.06.2021 02:00,8.1,9.6,10.49,1.5,2.39
09.06.2021 03:00,8.6,8.81,9.68,0.21,1.08
09.06.2021 04:00,9.3,9.22,10.53,0.08,1.23
09.06.2021 05:00,9.7,9.9,11.12,0.2,1.42
09.06.2021 06:00,9.9,11.07,11.55,1.17,1.65
09.06.2021 07:00,13.4,14.2,16.2,0.8,2.8
09.06.2021 08:00,12.3,12.87,14.75,0.57,2.45
09.06.2021 09:00,13.1,13.84,14.43,0.74,1.33
09.06.2021 10:00,12.6,11.76,12.21,0.84,0.39
09.06.2021 11:00,12.8,10.65,11.28,2.15,1.52
09.06.2021 12:00,13.3,10.31,11.23,2.99,2.07
09.06.2021 13:00,13.5,10.81,11.15,2.69,2.35
09.06.2021 14:00,13.9,10.94,11.71,2.96,2.19
09.06.2021 15:00,14.7,10.87,11.73,3.83,2.97
09.06.2021 16:00,11.9,9.15,9.68,2.75,2.22
09.06.2021 17:00,8,6.5,7.07,1.5,0.93
09.06.2021 18:00,8.5,6.97,7.24,1.53,1.26
09.06.2021 19:00,9.1,7.27,8.1,1.83,1
09.06.2021 20:00,8.7,6.47,8.08,2.23,0.62
09.06.2021 21:00,8.9,7.32,7.48,1.58,1.42
09.06.2021 22:00,9.7,7.88,8.1,1.82,1.6
09.06.2021 23:00,10.4,7.96,9.02,2.44,1.38
10.06.2021 00:00,10.8,8.19,10.46,2.61,0.34
10.06.2021 01:00,9.8,9.02,9.4,0.78,0.4
10.06.2021 02:00,8.6,7.46,7.83,1.14,0.77
10.06.2021 03:00,8,7.08,8.05,0.92,0.05
10.06.2021 04:00,7.9,6.8,8.08,1.1,0.18
10.06.2021 05:00,8.1,7.99,7.52,0.11,0.58
10.06.2021 06:00,7.9,7.27,8.09,0.63,0.19
10.06.2021 07:00,7.9,8.07,7.81,0.17,0.09
10.06.2021 08:00,8.6,7.65,7.17,0.95,1.43
10.06.2021 09:00,7.2,5.62,5.85,1.58,1.35
10.06.2021 10:00,6.4,6.01,5.62,0.39,0.78
10.06.2021 11:00,9.9,8.4,8.14,1.5,1.76
10.06.2021 12:00,11.2,8.76,9.82,2.44,1.38
10.06.2021 13:00,10,7.97,8.57,2.03,1.43
10.06.2021 14:00,9.3,6.83,8.26,2.47,1.04
10.06.2021 15:00,8.7,7.04,7.49,1.66,1.21
